,measures,original-decomps,CVXOPT-svl-svu,CVXOPT-svl-svu-holdout,CVXOPT-vl-vu,CVXOPT-vl-vu-holdout,CVXOPT-with-old-betas-svl-svu,CVXOPT-with-old-betas-svl-svu-holdout,CVXOPT-new-algo2-svl-svu-NO-RSSD,CVXOPT-new-algo2-svl-svu-NO-RSSD-holdout,CVXOPT-new-algo2-svl-svu-WITH-RSSD,CVXOPT-new-algo2-svl-svu-WITH-RSSD-holdout
0,RSQ,0.0,0.9734144980530599,0.9732982555677442,0.9734144980530599,0.9732982555677442,0.9378042455239205,0.9383266758361388,0.9446949875046553,0.9462236298816159,0.7954842823427756,0.7999267645430688
1,MAPE,0.6835650203360714,0.08436265585298243,0.08482618945771214,0.08436265585298243,0.08482618945771214,0.14115817060430927,0.1422449016349197,0.11539748936584822,0.1149651609369563,0.3153980017938168,0.31212713841839673
2,NRMSE,5.101184147813508,0.7775429948829321,0.8335675869475984,0.7775429948829321,0.8335675869475984,1.1892751683562668,1.2668339107265538,1.1214611370963867,1.1829509667479383,2.156578772475666,2.281736549402367
3,RSSD,nan,1.50060364234928,0.0,1.50060364234928,0.0,0.7438455335003569,0.0,0.18109600770624304,0.0,0.5011504338908648,0.0
4,intercept,100.0,7.923497904466288,0.0,7.923497904466288,0.0,8.366375747969414,0.0,18.000010512226552,0.0,49.46961484157237,0.0
5,measure,decomps,decomps,0.0,decomps,0.0,decomps,0.0,decomps,0.0,decomps,0.0
6,***********AEO,0.0,16.46646992500346,0.0,16.46646992500346,0.0,17.323804179632923,0.0,17.983816958876876,0.0,4.125973108485889,0.0
7,Media,0.0,16.46646992500346,0.0,16.46646992500346,0.0,17.323804179632923,0.0,17.983816958876876,0.0,4.125973108485889,0.0
8,***********INSTALL,0.0,5.610399956253556,0.0,5.610399956253556,0.0,1.7386386027322656,0.0,1.3783286384460312,0.0,0.218307578799776,0.0
9,Media,0.0,5.610399956253556,0.0,5.610399956253556,0.0,1.7386386027322656,0.0,1.3783286384460312,0.0,0.218307578799776,0.0
10,***********Install,0.0,25.768970462936934,0.0,25.768970462936934,0.0,6.51497051366413,0.0,7.159141133853572,0.0,1.4638778001772133,0.0
11,Media,0.0,25.768970462936934,0.0,25.768970462936934,0.0,6.51497051366413,0.0,7.159141133853572,0.0,1.4638778001772133,0.0
12,***********Other,0.0,0.0001126713388782966,0.0,0.0001126713388782966,0.0,9.738787567778218,0.0,10.444846875134946,0.0,6.0951996215822515,0.0
13,Media,0.0,0.0001126713388782966,0.0,0.0001126713388782966,0.0,9.738787567778218,0.0,10.444846875134946,0.0,6.0951996215822515,0.0
14,***********ROAS,0.0,23.744262123009594,0.0,23.744262123009594,0.0,40.708327933953285,0.0,26.555963803039226,0.0,10.548203576430641,0.0
15,Media,0.0,23.744262123009594,0.0,23.744262123009594,0.0,40.708327933953285,0.0,26.555963803039226,0.0,10.548203576430641,0.0
16,***********Roas,0.0,19.388985226140033,0.0,19.388985226140033,0.0,15.609086336785513,0.0,18.47787195143252,0.0,4.3868720148437,0.0
17,Media,0.0,19.388985226140033,0.0,19.388985226140033,0.0,15.609086336785513,0.0,18.47787195143252,0.0,4.3868720148437,0.0
18,***********nan,0.0,1.097301730851236,0.0,1.097301730851236,0.0,9.117484240166434e-06,0.0,2.0126990268923255e-05,0.0,23.69195145810816,0.0
19,Non_Media,0.0,1.097301730851236,0.0,1.097301730851236,0.0,9.117484240166434e-06,0.0,2.0126990268923255e-05,0.0,23.69195145810816,0.0
