date(DateTimeOffset),channel(String),optimize(String),impression(Int64),cost(Decimal),new_user(Int64),day1_revenue(Decimal),day7_revenue(Decimal),day14_revenue(Decimal)
11/15/2022 12:00:00 AM +00:00,GoogleUAC (18326215839),ROAS,9406,661.34,0,0,0,0
11/15/2022 12:00:00 AM +00:00,Facebook (23849554058460631),ROAS,132481,3101.68,0,0,0,0
11/15/2022 12:00:00 AM +00:00,Applovin (2b5a3e161e7c1e7999d0d5cf7c1605fb),ROAS,38515,7277.21,269,125.7,0,0
