date,region,kpi_new_user,retention,active_revenue,impression_Appier_INSTALL,impression_AppleSearch_ROAS,impression_Applovin_AEO,impression_Applovin_ALL,impression_Applovin_INSTALL,impression_Applovin_ROAS,impression_Chartboost_ROAS,impression_Exmox_AEO,impression_Facebook_AEO,impression_Facebook_ALL,impression_Facebook_INSTALL,impression_Facebook_ROAS,impression_GoogleUAC_AEO,impression_GoogleUAC_ALL,impression_GoogleUAC_ROAS,impression_IronSource_INSTALL,impression_Jampp_ROAS,impression_Kaden_ROAS,impression_Kyawake_ALL,impression_Kyawake_OTHER,impression_Kyawake_ROAS,impression_Liftoff_OTHER,impression_Mobupps_AEO,impression_Moloco_ROAS,impression_Snapchat_AEO,impression_Snapchat_INSTALL,impression_TikTok_AEO,impression_TikTok_INSTALL,impression_Unity_INSTALL,impression_Unity_ROAS,impression_Vungle_OTHER,impression_Vungle_ROAS,spend_Appier_INSTALL,spend_AppleSearch_ROAS,spend_Applovin_AEO,spend_Applovin_ALL,spend_Applovin_INSTALL,spend_Applovin_ROAS,spend_Chartboost_ROAS,spend_Exmox_AEO,spend_Facebook_AEO,spend_Facebook_ALL,spend_Facebook_INSTALL,spend_Facebook_ROAS,spend_GoogleUAC_AEO,spend_GoogleUAC_ALL,spend_GoogleUAC_ROAS,spend_IronSource_INSTALL,spend_Jampp_ROAS,spend_Kaden_ROAS,spend_Kyawake_ALL,spend_Kyawake_OTHER,spend_Kyawake_ROAS,spend_Liftoff_OTHER,spend_Mobupps_AEO,spend_Moloco_ROAS,spend_Snapchat_AEO,spend_Snapchat_INSTALL,spend_TikTok_AEO,spend_TikTok_INSTALL,spend_Unity_INSTALL,spend_Unity_ROAS,spend_Vungle_OTHER,spend_Vungle_ROAS,advertising_new_user,day1_revenue,advertising_day7_revenue,day14_revenue,publish_force,publish_hot,publish_bug,publish_internal,publish_external,kpi_day7_revenue
2022-01-11,US,4714.0,46.82,33140.61,0.0,5.11,33.97,0.0,0.99,25.81,0.0,0.0,497.4,0.0,3.1,507.61,95.2,0.0,0.0,48.28,0.0,0.0,0.0,0.0,0.0,469.56,0.0,11610.92,0.0,0.0,0.0,76.92,105.33,38.8,0.0,116.75,0.0,1561.96,3602.4,0.0,72.0,3858.69,0.0,0.0,4776.96,0.0,35.85,10964.82,4187.4,0.0,0.0,1139.77,0.0,0.0,0.0,0.0,0.0,14134.31,0.0,9499.16,0.0,0.0,0.0,291.0,2895.8500000000004,3114.62,0.0,2878.0,3375,1015.21,5560.31,9904.44,0.0,0.0,0.0,0.0,0.0,7986.7
2022-01-12,US,4665.0,47.61,34042.25,0.0,5.45,29.56,0.0,0.97,26.68,5.61,0.0,537.84,0.0,2.94,483.82,91.26,0.0,0.0,40.66,0.0,0.0,0.0,0.0,0.0,346.77,0.0,10905.67,0.0,0.0,0.0,102.3,112.42000000000002,37.269999999999996,0.0,119.47,0.0,1802.95,4085.26,0.0,72.0,6507.92,20.0,0.0,5238.08,0.0,36.35,11637.69,4014.04,0.0,0.0,1140.8899999999999,0.0,0.0,0.0,0.0,0.0,13333.26,0.0,9531.31,0.0,0.0,0.0,291.0,2911.62,2861.82,0.0,2792.0,3295,977.1,7399.5,12122.61,0.0,0.0,0.0,0.0,0.0,9240.73
2022-01-13,US,5032.0,46.050000000000004,35285.68,0.0,5.31,44.82,0.0,1.15,37.94,0.0,0.0,530.19,0.0,2.82,451.29,55.97,0.0,0.0,32.98,0.0,0.0,0.0,0.0,0.0,343.85,0.0,10731.16,0.0,0.0,0.0,100.38,100.8,38.5,0.0,158.99,0.0,1644.3899999999999,4414.08,0.0,72.0,6563.04,0.0,0.0,5250.53,0.0,37.5,12332.5,3262.85,0.0,0.0,675.79,0.0,0.0,0.0,0.0,0.0,13916.27,0.0,9524.73,0.0,0.0,0.0,291.0,2715.23,2923.3500000000004,0.0,3539.0,3611,1013.9000000000001,6769.58,11739.33,0.0,0.0,0.0,0.0,0.0,9872.800000000001
2022-01-14,US,4613.0,45.78,35911.590000000004,0.0,6.66,36.19,0.0,1.06,70.54,3.85,0.0,565.01,0.0,2.84,476.66,86.09,0.0,0.0,27.41,0.0,0.0,0.0,0.0,0.0,468.8,0.0,12028.21,0.0,0.0,0.0,84.49,101.31,31.990000000000002,0.0,128.82,0.0,2136.25,4738.22,0.0,54.0,12977.44,20.0,0.0,5430.6900000000005,0.0,36.72,12228.26,3844.9300000000003,0.0,0.0,728.85,0.0,0.0,0.0,0.0,0.0,13680.84,0.0,9512.51,0.0,0.0,0.0,291.0,2545.58,2926.3900000000003,0.0,2873.0,3253,928.22,7577.51,14128.039999999999,0.0,0.0,0.0,0.0,0.0,9641.460000000001
2022-01-15,US,5987.0,48.64,39860.1,0.0,7.15,64.46,0.0,3.01,65.48,0.0,0.0,614.6,0.0,3.14,514.19,128.03,0.0,0.0,65.09,0.0,0.0,0.0,0.0,0.0,599.81,0.0,11767.99,0.0,0.0,0.0,90.76,103.38999999999999,46.89,0.0,147.3,0.0,1713.54,4720.16,0.0,48.0,16433.06,0.0,0.0,5465.47,0.0,36.74,12577.8,4060.4700000000003,0.0,0.0,1933.0900000000001,0.0,0.0,0.0,0.0,0.0,14113.94,0.0,9519.04,0.0,0.0,0.0,291.0,2694.83,2910.63,0.0,3666.0,4365,1574.45,9032.7,15698.33,0.0,0.0,0.0,0.0,0.0,13152.210000000001
2022-01-16,US,6398.0,47.67,40843.47,0.0,5.83,53.25,0.0,5.25,74.93,5.43,0.0,555.88,0.0,2.86,512.63,133.52,0.0,0.0,62.54,0.0,0.0,0.0,0.0,0.0,883.46,0.0,13242.15,0.0,0.0,0.0,84.79,102.22999999999999,30.87,0.0,130.77,0.0,1884.57,5718.150000000001,0.0,84.0,13542.970000000001,30.0,0.0,5245.05,0.0,35.68,11876.95,4342.95,0.0,0.0,2073.75,0.0,0.0,0.0,0.0,0.0,13666.09,0.0,9516.81,0.0,0.0,0.0,291.0,2810.58,2957.71,0.0,3664.0,4499,1664.79,10070.14,16760.86,0.0,0.0,0.0,0.0,0.0,13652.380000000001
2022-01-17,US,5922.0,45.910000000000004,45294.21,0.0,5.7,89.1,0.0,3.54,103.2,12.96,0.0,537.94,0.0,2.87,536.76,93.3,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,759.77,0.0,14968.87,0.0,0.0,0.0,86.85,100.67999999999999,33.07,0.0,118.22,0.0,1981.42,7095.56,0.0,126.0,12074.91,50.0,0.0,5220.77,0.0,36.49,11791.8,3410.96,0.0,0.0,2543.9900000000002,0.0,0.0,0.0,0.0,0.0,16720.08,0.0,9513.710000000001,0.0,0.0,0.0,291.0,2773.57,2953.34,0.0,2295.0,4383,1573.01,7852.860000000001,14190.910000000002,0.0,0.0,0.0,0.0,0.0,10762.300000000001
2022-01-18,US,6544.0,48.17,35431.35,0.0,5.06,83.16,0.0,0.58,93.98,6.68,0.0,560.86,0.0,2.66,570.64,190.16,0.0,0.0,67.05,0.0,0.0,0.0,0.0,0.0,729.46,0.0,13886.94,0.0,0.0,424.64,70.95,83.47999999999999,42.89,0.0,140.28,0.0,1813.09,7512.7300000000005,0.0,138.0,12918.45,30.0,0.0,5559.1900000000005,0.0,36.0,12598.050000000001,5587.35,0.0,0.0,2092.73,0.0,0.0,0.0,0.0,0.0,15267.07,0.0,9526.65,0.0,0.0,1455.01,291.0,2279.0699999999997,3385.1400000000003,0.0,2736.0,4386,1447.8700000000001,10792.26,18749.64,0.0,0.0,0.0,0.0,0.0,15291.16
2022-01-19,US,6123.0,47.15,40390.56,0.0,5.03,54.6,0.0,0.92,111.99,47.9,0.0,573.64,0.0,2.74,512.06,112.35,0.0,0.0,69.21000000000001,0.0,0.0,0.0,0.0,0.0,1510.96,0.0,13333.04,0.0,0.0,484.09,73.33,86.64,50.03999999999999,0.0,166.6,0.0,1870.89,6208.49,0.0,48.0,13641.880000000001,70.0,0.0,5570.7,0.0,37.0,12605.410000000002,3792.06,0.0,0.0,2134.33,0.0,0.0,0.0,0.0,0.0,16020.75,0.0,9516.62,0.0,0.0,1405.21,291.0,2230.0,3327.3500000000004,0.0,3343.0,4187,1433.3500000000001,8225.99,14447.04,0.0,0.0,0.0,0.0,0.0,11665.6
2022-01-20,US,5486.0,44.15,35885.3,0.0,5.42,69.04,0.0,0.21,97.4,31.38,0.0,521.05,0.0,2.64,540.18,126.65,0.0,0.0,42.21,0.0,0.0,0.0,0.0,0.0,1665.19,0.0,13448.51,0.0,0.0,415.47,2.57,93.4,56.89,0.0,150.45,0.0,2010.13,5259.72,0.0,30.0,16536.44,50.0,0.0,5674.06,0.0,36.59,12776.43,4425.9800000000005,0.0,0.0,1412.38,0.0,0.0,0.0,0.0,0.0,16458.14,0.0,9511.17,0.0,0.0,1455.01,10.24,2163.76,3334.98,0.0,3355.0,3779,1194.47,8094.21,15082.38,0.0,0.0,0.0,0.0,0.0,12144.42
