Date,App_D7_Revenue
9/3/2022,"3,506"
9/4/2022,"4,738"
9/5/2022,"2,215"
9/6/2022,"3,400"
9/7/2022,"2,158"
9/8/2022,"2,394"
9/9/2022,"2,881"
9/10/2022,"2,718"
9/11/2022,"2,604"
9/12/2022,"1,637"
9/13/2022,"1,222"
9/14/2022,"2,259"
9/15/2022,"1,725"
9/16/2022,"1,500"
9/17/2022,"1,599"
9/18/2022,"2,412"
9/19/2022,"1,525"
9/20/2022,"2,060"
9/21/2022,"3,099"
9/22/2022,"2,674"
9/23/2022,"1,137"
9/24/2022,"2,056"
9/25/2022,"2,159"
9/26/2022,"1,934"
9/27/2022,"1,657"
9/28/2022,"2,518"
9/29/2022,"3,076"
9/30/2022,"1,523"
10/1/2022,"2,293"
10/2/2022,"2,109"
10/3/2022,"1,558"
10/4/2022,"1,567"
10/5/2022,"1,634"
10/6/2022,"1,248"
10/7/2022,"2,164"
10/8/2022,"1,831"
10/9/2022,"3,603"
10/10/2022,"2,030"
10/11/2022,"1,546"
10/12/2022,"1,996"
10/13/2022,"2,265"
10/14/2022,"2,302"
10/15/2022,"2,490"
10/16/2022,"2,846"
10/17/2022,"1,354"
10/18/2022,"1,430"
10/19/2022,"1,715"
10/20/2022,"1,622"
10/21/2022,"1,969"
10/22/2022,"2,175"
10/23/2022,"1,298"
10/24/2022,"1,477"
10/25/2022,"1,546"
10/26/2022,"1,546"
10/27/2022,"1,194"
10/28/2022,"1,598"
10/29/2022,"1,820"
10/30/2022,"2,083"
10/31/2022,"2,028"
11/1/2022,"1,291"
11/2/2022,"1,222"
11/3/2022,"1,143"
11/4/2022,"1,339"
11/5/2022,"2,013"
11/6/2022,"2,511"
11/7/2022,"2,438"
11/8/2022,"1,632"
11/9/2022,"1,536"
11/10/2022,"1,389"
11/11/2022,"1,553"
11/12/2022,"1,924"
11/13/2022,"1,712"
11/14/2022,"1,615"
11/15/2022,"2,187"
11/16/2022,"1,640"
11/17/2022,"1,880"
11/18/2022,"1,560"
11/19/2022,"1,724"
11/20/2022,"2,750"
11/21/2022,"1,997"
11/22/2022,"1,705"
11/23/2022,"1,449"
11/24/2022,"1,078"
11/25/2022,"1,682"
11/26/2022,"1,135"
11/27/2022,998
11/28/2022,"1,052"
11/29/2022,"1,570"
11/30/2022,"1,322"
12/1/2022,371
12/2/2022,604
12/3/2022,789
12/4/2022,655
12/5/2022,887
12/6/2022,325
12/7/2022,754
12/8/2022,614
12/9/2022,427
12/10/2022,"1,112"
12/11/2022,"1,087"
12/12/2022,947
12/13/2022,945
12/14/2022,829
12/15/2022,666
12/16/2022,721
12/17/2022,"1,121"
12/18/2022,658
12/19/2022,515
12/20/2022,702
12/21/2022,485
12/22/2022,459
12/23/2022,798
12/24/2022,"1,186"
12/25/2022,"1,000"
12/26/2022,"1,552"
12/27/2022,"1,172"
12/28/2022,848
12/29/2022,870
12/30/2022,820
12/31/2022,"1,428"
1/1/2023,"1,776"
1/2/2023,"1,198"
1/3/2023,"1,310"
1/4/2023,806
1/5/2023,648
1/6/2023,549
1/7/2023,"1,197"
1/8/2023,"1,071"
1/9/2023,754
1/10/2023,900
1/11/2023,"1,022"
1/12/2023,809
1/13/2023,"1,326"
1/14/2023,937
1/15/2023,764
1/16/2023,595
1/17/2023,514
1/18/2023,603
1/19/2023,330
1/20/2023,526
1/21/2023,"1,026"
1/22/2023,741
1/23/2023,847
1/24/2023,587
1/25/2023,581
1/26/2023,457
1/27/2023,264
1/28/2023,612
1/29/2023,251
1/30/2023,0
1/31/2023,0
